HCHO_reading,Location,Date
7.067572073902713e-05,Colombo Proper,2019-06-01
0.0001658041001064,Colombo Proper,2019-06-02
0.0001609821398171,Colombo Proper,2019-06-03
8.42250633206326e-05,Colombo Proper,2019-06-04
9.371377986677446e-05,Colombo Proper,2019-06-05
0.0001032024964129163,Colombo Proper,2019-06-06
0.00011269121295905815,Colombo Proper,2019-06-07
0.0001221799295052,Colombo Proper,2019-06-08
0.0001843041391111,Colombo Proper,2019-06-09
0.00013303643074586384,Colombo Proper,2019-06-10
8.17687223806277e-05,Colombo Proper,2019-06-11
0.0001880614290712,Colombo Proper,2019-06-12
8.209911205126233e-05,Colombo Proper,2019-06-14
0.0001636562089987,Colombo Proper,2019-06-15
0.00015855090394575,Colombo Proper,2019-06-16
0.0001534455988928,Colombo Proper,2019-06-17
0.000158330813573,Colombo Proper,2019-06-18
0.0001450758394609,Colombo Proper,2019-06-19
0.00014350048055386668,Colombo Proper,2019-06-20
0.00014192512164683333,Colombo Proper,2019-06-21
0.0001403497627398,Colombo Proper,2019-06-22
0.0002885739086195,Colombo Proper,2019-06-24
0.0001698958410235,Colombo Proper,2019-06-25
0.00014705576369764998,Colombo Proper,2019-06-26
0.0001242156863718,Colombo Proper,2019-06-27
8.171133330754701e-05,Colombo Proper,2019-06-28
7.340520263976472e-05,Colombo Proper,2019-06-29
8.969739342465703e-05,Colombo Proper,2019-07-01
8.080856806689084e-05,Colombo Proper,2019-07-02
8.317285235618187e-05,Colombo Proper,2019-07-04
9.39126919104318e-05,Colombo Proper,2019-07-05
0.0001606779140439,Colombo Proper,2019-07-08
0.00010557875281705142,Colombo Proper,2019-07-09
5.047959159020286e-05,Colombo Proper,2019-07-10
6.685329661024943e-05,Colombo Proper,2019-07-11
0.0001352754338604,Colombo Proper,2019-07-12
0.0001247692753115956,Colombo Proper,2019-07-13
0.0001142631167627912,Colombo Proper,2019-07-14
0.0001037569582139868,Colombo Proper,2019-07-15
9.32507996651824e-05,Colombo Proper,2019-07-16
9.43661380441044e-05,Colombo Proper,2019-07-17
9.54814764230264e-05,Colombo Proper,2019-07-18
9.65968148019484e-05,Colombo Proper,2019-07-19
9.77121531808704e-05,Colombo Proper,2019-07-20
0.0001328017366567,Colombo Proper,2019-07-21
0.00010588073448638069,Colombo Proper,2019-07-22
7.895973231606139e-05,Colombo Proper,2019-07-23
5.2038730145742104e-05,Colombo Proper,2019-07-24
0.0001644546205319,Colombo Proper,2019-07-25
0.0001707607001308,Colombo Proper,2019-07-26
0.0001185044673927,Colombo Proper,2019-07-27
0.0001041769215942,Colombo Proper,2019-07-28
0.0001754362061189,Colombo Proper,2019-07-29
4.6955253049504447e-05,Colombo Proper,2019-07-30
9.259486707748456e-05,Colombo Proper,2019-07-31
4.458029389653336e-05,Colombo Proper,2019-08-01
5.696540487037588e-05,Colombo Proper,2019-08-02
6.93505158442184e-05,Colombo Proper,2019-08-03
5.951792946298224e-05,Colombo Proper,2019-08-06
0.0002358972517484,Colombo Proper,2019-08-07
0.00021746866963115002,Colombo Proper,2019-08-08
0.0001990400875139,Colombo Proper,2019-08-09
0.00018061150539665,Colombo Proper,2019-08-10
0.0001621829232794,Colombo Proper,2019-08-11
0.00012765852783420945,Colombo Proper,2019-08-12
9.313413238901889e-05,Colombo Proper,2019-08-13
5.860973694382833e-05,Colombo Proper,2019-08-14
0.0001350586133809,Colombo Proper,2019-08-15
0.00015181588416614999,Colombo Proper,2019-08-16
0.0001685731549514,Colombo Proper,2019-08-17
8.584961620742005e-05,Colombo Proper,2019-08-19
8.793838791530453e-05,Colombo Proper,2019-08-20
8.479952216441172e-05,Colombo Proper,2019-08-21
0.00010694325052970781,Colombo Proper,2019-08-22
0.0001290869788950039,Colombo Proper,2019-08-23
0.0001512307072603,Colombo Proper,2019-08-24
8.200507148309471e-05,Colombo Proper,2019-08-26
0.00013568926516754735,Colombo Proper,2019-08-27
0.000189373458852,Colombo Proper,2019-08-28
0.00018653192431849648,Colombo Proper,2019-08-30
4.148157993699298e-05,Colombo Proper,2019-08-31
0.0001254869544792,Colombo Proper,2019-09-02
6.601078846206005e-05,Colombo Proper,2019-09-04
6.189868745003109e-05,Colombo Proper,2019-09-05
0.0001425282227641,Colombo Proper,2019-09-07
0.0001051981676809,Colombo Proper,2019-09-08
7.796198665621607e-05,Colombo Proper,2019-09-09
0.0001706459092882,Colombo Proper,2019-09-10
0.0001566867711263846,Colombo Proper,2019-09-11
0.00014272763296456923,Colombo Proper,2019-09-12
0.00012876849480275383,Colombo Proper,2019-09-13
0.00011480935664093844,Colombo Proper,2019-09-14
0.00010085021847912306,Colombo Proper,2019-09-15
8.689108031730767e-05,Colombo Proper,2019-09-16
7.293194215549228e-05,Colombo Proper,2019-09-17
0.0001224324055217,Colombo Proper,2019-09-18
8.336853413881779e-05,Colombo Proper,2019-09-19
4.4304662755935576e-05,Colombo Proper,2019-09-20
6.719672168285214e-05,Colombo Proper,2019-09-21
0.00012540092636388172,Colombo Proper,2019-09-22
0.0001836051310449113,Colombo Proper,2019-09-23
0.00024180933572594086,Colombo Proper,2019-09-24
0.00030001354040697044,Colombo Proper,2019-09-25
0.0001222516306589,Colombo Proper,2019-09-27
0.0002095719037861,Colombo Proper,2019-09-28
0.0001578932214216,Colombo Proper,2019-09-29
0.0001080054580652,Colombo Proper,2019-09-30
0.0001737579768947,Colombo Proper,2019-10-01
8.218956230442276e-05,Colombo Proper,2019-10-02
0.000304390194455,Colombo Proper,2019-10-03
4.704659868522847e-05,Colombo Proper,2019-10-04
0.0001757757371135,Colombo Proper,2019-10-05
0.00010333933307296958,Colombo Proper,2019-10-06
0.000141664818243,Colombo Proper,2019-10-08
0.0001721947790897,Colombo Proper,2019-10-09
0.000192906272276,Colombo Proper,2019-10-10
0.00017855793908086665,Colombo Proper,2019-10-11
0.00016420960588573333,Colombo Proper,2019-10-12
0.0001498612726906,Colombo Proper,2019-10-13
8.925810029372805e-05,Colombo Proper,2019-10-14
