Date,Location,Precipitation,Temperature,Wind Speed,Elevation,HCHO_reading
2019-04-17,Colombo Proper,25.1,28.3,16.8,5.0,0.0002211995567958
2019-04-18,Colombo Proper,25.1,27.9,13.0,5.0,0.0001927819063126
2019-04-19,Colombo Proper,5.6,29.2,13.8,5.0,0.0001684974821728
2019-04-20,Colombo Proper,23.6,27.5,12.0,5.0,0.000144213058033
2019-04-21,Colombo Proper,10.2,28.6,9.4,5.0,0.0001454167284999
2019-04-22,Colombo Proper,10.2,28.0,13.6,5.0,0.0001711205695593
2019-04-24,Colombo Proper,21.8,29.5,7.9,5.0,0.0001399382956399
2019-04-25,Colombo Proper,6.4,27.3,13.0,5.0,9.581443666026756e-05
2019-04-27,Colombo Proper,1.7,28.8,9.5,5.0,9.636821319365264e-05
2019-04-28,Colombo Proper,5.7,29.7,12.9,5.0,9.664510146034516e-05
2019-04-29,Colombo Proper,14.8,26.6,12.0,5.0,9.692198972703767e-05
2019-04-30,Colombo Proper,10.9,28.5,16.8,5.0,9.719887799373022e-05
2019-05-01,Colombo Proper,29.2,29.7,20.7,5.0,9.747576626042276e-05
2019-05-02,Colombo Proper,1.0,29.6,14.1,5.0,9.860799591444852e-05
2019-05-03,Colombo Proper,0.8,28.4,16.1,5.0,9.974022556847424e-05
2019-05-04,Colombo Proper,0.5,29.7,14.7,5.0,0.0001008724552225
2019-05-05,Colombo Proper,0.5,29.0,15.0,5.0,6.995837420986777e-05
2019-05-07,Colombo Proper,2.6,29.7,14.1,5.0,0.0001174876039439
2019-05-08,Colombo Proper,0.5,29.7,17.6,5.0,0.000101303794324
2019-05-09,Colombo Proper,3.8,29.7,16.9,5.0,9.939428098153852e-05
2019-05-10,Colombo Proper,1.5,29.7,18.6,5.0,0.000125364158271
2019-05-11,Colombo Proper,2.8,29.7,16.6,5.0,0.0001274753051841
2019-05-12,Colombo Proper,10.4,29.5,14.0,5.0,8.802823548435995e-05
2019-05-14,Colombo Proper,8.4,29.7,13.6,5.0,0.0001810438022415
