"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-18","0.0",",,S","29.8","H,,S","34.5",",,S","24.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-20","0.0",",,S","28.1","H,,S","33.6",",,S","21.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-21","0.0",",,S","27.2","H,,S",,,"21.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-22","0.0",",,S","30.9","H,,S","33.7",",,S","23.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-23","0.0",",,S","30.2","H,,S","33.2",",,S","19.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-24","0.0",",,S","28.6","H,,S",,,"20.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-25","0.0",",,S","29.7","H,,S","35.4",",,S","22.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-26","0.0",",,S","31.6","H,,S","35.0",",,S","24.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-27","0.0",",,S","29.2","H,,S","34.4",",,S","23.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-02-28","0.0",",,S","28.4","H,,S","32.7",",,S","22.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-03","0.0",",,S","31.1","H,,S","35.5",",,S","23.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-04","0.0",",,S","29.2","H,,S","35.6",",,S","22.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-05","2.8",",,S","29.3","H,,S",,,"23.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-06","0.0",",,S","30.2","H,,S","34.8",",,S","25.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-07","0.0",",,S","30.0","H,,S","35.5",",,S","22.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-09","0.0",",,S","31.3","H,,S","35.5",",,S","23.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-10","21.6",",,S","29.8","H,,S","35.5",",,S","22.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-11","0.0",",,S","30.4","H,,S","34.5",",,S","22.1",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-12","0.0",",,S","28.2","H,,S",,,"20.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-13","0.0",",,S","28.2","H,,S",,,"21.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-14","0.0",",,S","30.2","H,,S","35.7",",,S","24.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-15","0.0",",,S","32.0","H,,S","36.4",",,S","21.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-17","8.4",",,S","28.8","H,,S",,,"23.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-18","0.0",",,S","30.2","H,,S","35.6",",,S","24.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-19","0.0",",,S","30.9","H,,S","37.3",",,S","22.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-20","0.0",",,S","30.7","H,,S","37.0",",,S","22.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-03-21","0.0",",,S","28.9","H,,S",,,"24.0",",,S"
